科技	三倍光学变焦三星PL50千万像素热促中三星PL50数码相机是今年上市的一款新品家用型数码相机，采用一块1/2.33英寸感光片，拥有1020万像素的成像能力，同时它还具备智能场景识别能力，包含构图指南等实用的内置技术。目前该款三星PL50的报价为980,感兴趣的朋友不妨咨询下。
科技	高清闪存式DV 佳能HF S100套餐促7790元（中关村在线上海行情） 佳能HF S100 作为09年最新推出的旗舰级产品，总像素达到了859万。采用了新开发的1/2.6英寸FULL HD CMOS影像感应器，成像效果更加出众。商家“上海摄苑网摄影器材”给出超值套餐报价，佳能HFS100 +肯高专业UV镜+三角架+专业摄影包+8G sd高速存储卡=7790元（带发票）。编辑点评：   佳能 HF S100拥有1920×1080i分辨率的全高清成像能力，拍摄效果非常出色，由于采用闪存卡的存储方式，在存储的空间上拥有了无限的可扩展性。目前商家正举行套机促销，有需要的朋友可以联系以下商家。佳能 HF S100 [产品价格] 7790元(带票)[商家名称] 上海摄苑网摄影器材[联系方式] 4007168822、021-53020397[商家地址] http://dealer.zol.com.cn/d_93602/[联系地址] 上海市卢湾区鲁班路288号星光摄影器材城1楼30-31号
体育	113颗三分捧热火最超值一签 迈阿密绝不止1个詹姆斯新浪体育讯迈阿密热火108-94战胜新泽西篮网，老将詹姆斯-琼斯拿下10分4个篮板，三分球4投3中，使得个人赛季三分球总命中数达到113个，打破了个人生涯单赛季纪录。今天的比赛德维恩-韦德意外受伤，不仅让迈克-米勒和马里奥-查尔默斯得到了提前复出的机会，琼斯也获得了更多的表现机会。第一节剩下4分钟时，琼斯就替下克里斯-波什。登场之初，琼斯在场上表现得非常积极，他在防守端不遗余力，尽管因此首节就背上两次犯规。第二节比赛一开始他还抓下后场篮板，并且助攻查尔默斯投中复出后的第一球。数据统计显示，本场比赛之前，琼斯投出了295个球，其中只有4个出手点在15尺以内。同时，琼斯的投篮中有99.2%的出自队友助攻，在出战次数超过20场的球员中，整个联盟也只有小牛的布莱恩-卡迪纳尔比他更多，后者所有的投篮都出自队友助攻，而不是单打。这一方面说明琼斯单打能力一般，功能单一，另一方面也说明他完全融入团队配合，投篮选择比较合理。本场比赛便是最为经典的范例，全场琼斯四次出手全部在三分线外，而且都来自队友助攻，两次出自勒布朗-詹姆斯，一次来自韦德。在本场比赛之前，本赛季出战75场比赛的琼斯265次三分球出手，命中了110记三分球，2005-06赛季，琼斯在太阳效力期间也投进了110记三分球，为职业生涯纪录。而在本场比赛中，状态极佳的琼斯丝毫没有受到犯规困扰，三分球四投三中，成功创造了个人新纪录。2005-06赛季无疑是这个龙套球员职业生涯一大光辉时刻，那个赛季他跟随太阳一起杀入西部决赛，经历了20场季后赛，为职业生涯最多的一次。只可惜，在连续两届常规赛MVP史蒂夫-纳什的身边，他没能为自己挣得一枚总冠军戒指。现在，他有机会再次和另外一位两届MVP并肩作战，想必他不会让机会再次白白溜走。那次季后赛琼斯表现一般，他一共投出了26个三分球，命中率仅为三成，为历年季后赛最差表现。在对阵小牛的六场比赛中，这位三年级球员状态尤其低迷。值得一提的是，如今热火板凳席上正有一位当时的战友，那便是此前曾和他在更衣室对骂的埃迪-豪斯。当年的西部决赛上，一度太阳板凳席上只有他们两个人。比起豪斯在对阵强敌时关键时刻不手软的表现来，琼斯还得多练。本赛季琼斯以130万美元老将底薪签约热火，他成为队内三分王，创造新纪录，可谓双喜临门，能不能更上层楼，还得看他雪中送炭的能力了。球迷都只关注勒布朗-詹姆斯，但别忘了热火还有一个詹姆斯，他就是詹姆斯-琼斯。(春水方生)
时政	马英九吁民进党调整其大陆政策中新网7月29日电 据台湾《联合晚报》报道，马英九当选国民党主席后，“双英会”是否出现曙光？马英九再度释出善意与诚意，不限时间、地点、议题，愿意与民进党主席蔡英文广泛交换意见。他认为，民进党必须重新思考调整大陆政策，国、民两党应该在大陆政策上，至少有部分形成共识，有一致立场。马英九说，非常愿意与蔡英文会面，他认为民进党内部也有一些声音出来，面对大陆必须要调整其步伐，否则，永远就在它的堡垒里出不来。他说，以两岸直航来说，显然民进党也认为应该直航，因为是他们开始的，春节包机是民进党开始的，陈水扁任内也是开放大陆农产品最多阶段，这些数据都可以拿得出来。马英九表示，岛内两党应该发展出至少有一部分是大家共同的大陆政策，在这个立场上，应该立场一致，在这个立场之外，可以有不同的看法。
体育	霍华德46+19不敌群鹰 季后赛首个冷门！魔术落败新浪体育讯北京时间4月17日，2010-11赛季季后赛开打，魔术首战主场以93-103不敌老鹰。乔-约翰逊为老鹰拿下了25分，艾尔-霍福德16分6个篮板，约什-史密斯15分8个篮板，科克-辛里奇13分，替补出场的贾马尔-克劳福德23分。“魔兽”德怀特-霍华德上半场就砍下31分，最后为魔术拿下了46分19个篮板，但他失误也达到8次，最后11分钟一直身背5次犯规作战。贾米尔-尼尔森三分球7投4中，拿下27分。魔术其他人得分都未能上双。在常规赛的交锋中，魔术只在首战胜出，此后三场都败给了老鹰。令魔术难以接受的是，面对老鹰的四场比赛，他们平均每场只得82.5分，命中率只有38%，魔术的三分在联盟数一数二，但面对老鹰时命中率只有22%。霍华德第二节继续统治篮下，本节还有8分27秒时，他勾手得分并造成犯规，连投带罚拿下3分，魔术以31-27领先。霍华德虽勇，无奈队友未能给予太多的帮助。本节最后6分54秒，魔术只有霍华德一人在得分，他包办全队的13分，本节一人得了19分，上半场已经有31分进账，不过魔术在半场结束时以48-55落后。下半场连霍华德都帮不了魔术。第三节刚开始，他就获得两次罚球机会，但两罚不中，本节他只投中一球，而且霍华德也开始陷入犯规困境。本节还有5分37秒时，帕楚利亚抢下进攻篮板准备上篮，霍华德来不及防守只得从身后一把将他拉倒，吃了一次技术犯规，老鹰罚中三球，以71-54取得了17分的优势。在主将也苦无得分良策之时，尼尔森终于进入状态，第三节最后5分钟他三度三分命中，近4分钟内魔术的15分全部为他一人所包办。魔术一度将差距缩小到10分，但老鹰在本节结束前连得4分，以85-71领先进入最后一节。老鹰在常规赛末段排名已定的情况下有所隐藏实力，以六连败结束，不过季后赛一开始他们又生龙活虎。第四节打了不到1分钟，老鹰就造成了霍华德第五次犯规。虽然霍华德仍坚持留在场上，但进攻上束手束脚。老鹰则放开手脚，众将多点开花，比赛还有8分44秒时，克劳福德中投命中，老鹰以91-73领先18分。此前结束的两场季后赛，都是主场作战的球队在落后两位数的情况下逆转。魔术也顽强反击，在比赛还有2分钟时，霍华德上篮，将比分追成90-98。克劳福德马上还以一记三分，老鹰又取得两位数的优势。魔术无力再将差距缩小9分以下，接受败局。虽然首战就失利，但在季后赛，主场失利之后才是真正的开始。魔术首发阵容：杰森-理查德森、贾米尔-尼尔森、德怀特-霍华德、希度-特科格鲁和布兰顿-巴斯；老鹰首发阵容：乔-约翰逊、科克-辛里奇、杰森-科林斯、艾尔-霍福德和约什-史密斯。(吴哥)
游戏	“三枪拍案”操作流剖析手机网游偶然去书店寻求知识慰藉，创新类的书，确实稀少。突想到了那些昙花一现的影视作品，还有我所从事的游戏行业等现状，想诉说一些字句。声明，我不专业，只是照实去表明一些实际而已。例如抄袭、例如市场、例如未来、例如例如。一直以明星充斥而彰显电影价值、毫无演技可言、单纯偶像崇拜的影评作为电影评估、过于现实而遭到封杀、宣传合作广告内置影视作品等等，都是现今我所遇到的令人难过、甚至愤恨的现状。如现今的网游，不论PC端抑或是手机端，问题显现如此明显，众多游戏人却依旧因为等等利益绕道而行之。这确实不是我们的初衷。“三枪拍案”，我用我并不专业的文字与观点，代群众呼吁一下。厂商价值观如《蜗居》所要表达的一样，人总是会被利益关系所驱使着去做这样那样的事。现实的本色、纠结的欲望。我并无能力批评一些东西，典型的如产品收费方式，如游戏制作花销代价等，这些与公司或是资本产业链相关的，在手机圈中，似乎有些话题要比PC网游更为敏感。我们是否要刨除经验主义，用全新的发展观来注视手机网游，包括运营商、终端、WAP提供了很多机会与平台，怎样正确利用这样的关系，是一个首要问题。有时，本末倒置，中国人难以纠正的典型思维方式。所以才有了前段时间中央插手、CCTV全程报道的涉黄与一些非正态盈利渠道的封查。玩家需求面一款游戏，并非以抄袭成功作品一二广告铺天盖地甚或更多而称为“不错”。自始至终，玩家体验感才是首位。09年是手机网游激荡爆发的一年，众多产品的一一出现，使得沉默的羔羊也开始变得如狼似渴。一时间，不知该赞叹行业的春天来到了，还是该欣赏这块蛋糕被狼群四分五裂后的惨状了。09年出现的优秀作品，看来看去，也就《明珠三国》、《契约》、《赤壁OL》有些亮点，各怀自家特色。《明珠三国》拥有着丰富的系统，以及其靓丽优秀的画面，着实吸引了不少热爱三国文化的玩家；《契约》则以高端手机应用方向，使得其形象高于其他产品，但是理想度却有些差强人意；《赤壁OL》则以3D的噱头，赚足了大家眼球，而本人测试过后，却明显感觉缺少一些动感与质感。玩家是否有那种感动，我不得而知。产品成熟度按照常规理论，一款游戏从最初计划的制定、策划案的出炉、技术部门的支持，到产品可以推向市场进行初步测试，记得，我说的是第一阶段的测试，应为技术性的内部测试吧，最少的话也需一年左右。而急功近利，压缩成本、压缩时间，相同理论，产品寿命也受到市场的严酷考验。区别于PC网游，手机网游的更新很频繁。笔者一直在关注构建在三国文化以上的产品，比如《明珠三国》、《赤壁OL》、《三国OL》、《摩卡三国》等等，而足以显其三国文化价值的，却鲜有一二，令我小有冲动的，不过也就《明珠三国》了。各位莫认为我是托或者是什么，这毫无意义，我们就事论事，有一说一而已。请各位游戏人，以专业精神对待专业爱好与专业职业吧。废话诸多，还望各位多多体谅，只是宣泄而已。本人邮箱darkwave69@126.com ，欢迎各位无聊人士前来骚扰以及讨论。
教育	2012年公派留学将启动 研究生扩大至全国选拔昨日一早，中国地质大学(武汉)体育馆前就排起了长龙，来自湖北、湖南、广东等高校的2000多名学子，正在此参加第三届国家公派研究生项目奖学金说明会。说明会上，牛津、剑桥、华盛顿大学圣路易斯分校等42所世界级名校与学子们面对面进行了交流。国家留学基金委相关负责人介绍：明年，国家公派出国留学(微博)不仅规模扩大，还将有一系列改革变化。选派规模：扩大至全国高校及各行各业国家留学基金委规划发展部副主任李昕介绍，明年，将在全国选拔各类留学人员1.6万人，其中研究生6000人，高级研究学者、访问学者、博士后、本科生1万人。不仅选派规模比今年增加3000人，而且“国家建设高水平大学公派研究生项目”还将从现在的面向60所高校，改为面向全国各高校和各行各业选拔，特别是已在国外进行学习的优秀自费留学生，也可参与公派留学奖学金的竞争选拔。相关改革还包括：将对青年骨干教师出国研修等项目推行以科研项目和研究课题为依托的新的选拔办法，重点支持团队形式派出；访问学者项目的留学资格有效期由原来的两年调整为一年，缩短派出周期等。设立试点：在校优秀本科生可公派出国以往，公派出国都只针对出国读研的学子，如今，在校本科生也将有出国留学交流的机会。明年，将设立试点实施优秀本科生出国交流项目：面向“985工程”、“211工程”建设高校，选拔本科二年级以上优秀学生赴国外高水平院校或机构进行3到12个月的课程学习，开展毕业设计或实习等，国家将承担相应的学习生活费用。李昕还介绍，国家公派留学坚持“支持留学、鼓励回国、来去自由”的方针，到目前为止，回国率保持在98%以上。需要提醒的是，公派留学实行“签约派出，违约赔偿”的管理办法，留学人员派出前须与留学基金委签订《资助出国留学协议书》、交存保证金。学成后须履行按期回国服务义务，服务期为两年。攻读博士学位研究生毕业后经批准可从事1-2年的博士后研究。明年入学：下月公布《选拔简章》及详情在说明会现场，不少大学生与参会高校一对一交流。据了解，他们一般是在网上提前申请了一对一面谈。牛津大学是首次来中国参加说明会，他们还安排了20分钟的信息说明讲座。该校的招生老师介绍，在中国招收研究生的名额没有限制，主要看重候选者在学业上的优秀程度和发展潜力。国家留学基金委东方国际教育交流中心副主任陈滔伟表示，现在每年出国留学的人数多达20多万，并且以30%的速度在递增。对于想出国留学的人来说，今年秋季入学已经错过。但只要现在开始着手准备，便可争取明年入学的门票。据介绍，《2012年国家留学基金资助出国留学人员选拔简章》及有关详情将于11月1日在国家留学网上公布，申请受理时间为明年3月1日至3月20日。申请人须按所申请奖学金项目规定登录国家公派留学信息管理系统进行报名，并提交申请材料。(记者：陈博雷 大学生记者：代欣彤 通讯员：文一如 牛旭)
时政	台湾研拟设立专区开放色情业台“行政院”人权小组昨天经过3个小时会议，确立未规范性工作者的方向，目前将朝向性工作除罪化方向进行，研拟设立专区配套措施，未来很有可能只要在专区内，娼嫖都不罚，至于是否成立专区，不须经由公投，一切由各县市府或者“议会”决定。 忧卖淫合法化可能会带来下述问题：第一、在合法妓院与非法妓院工作的妇女，都同样有被胁迫的危险；第二、合法妓院会成为组织犯罪进入社区之通道；第三、卖淫合法化显然会增加对成人与少数人之性剥削，包括了增加人口贩运的机会。支持？反对57%支持设“红灯专区” 52%不希望自己县市设台湾是否应该开放设置“色情专区”？依据最新调查发现，虽然目前从事性交易是违法行为，但51%受访者认为台湾色情产业普遍存在，42%民众赞成开放，57%的人支持设置“红灯专区” 集中管理，42%的民众主张由台当局统筹设置。虽然调查发现，赞成设置色情专区的民意略占上风，但52%的人不希望自己所在县市设置红灯区。 《中国时报》最新调查发现，42%的受访者表示与其让性交易转入地下，不如让性工作者除罪化，并在开放之后加强管理。相对的，39%民众觉得应该继续禁止。统计分析发现，两性对是否开放色情产业看法有显着差异。女性46%反对开放，35%觉得可以开放。相对的，男性50%赞成开放，32%觉得应该继续禁止。调查发现，57%的受访者表示支持设置色情专区，32%的民众反对设置专区。统计分析并显示，男性赞成设置专区的比例为61%，女性为52%。女性反对的有35%，男性仅28%。嘘声？掌声？台北市长带头反对 民进党籍2县长赞成据了解，台当局规划色情专区政策，受到“劳委会”主委王如玄相当大影响，她在2年前民进党“执政”时召开的的“行政院”人权小组会议当中，主张取消娼妓罚则。“地方政府”也是嘘声比掌声多，全台各县市当中，只有民进党“执政”的屏东县长曹启鸿、云林县长苏治芬和国民党籍宜兰县长吕国华3个县长赞成，其他县市全都反对。赞成的声音变成极少数，微弱的几乎听不到。尤其是国民党“执政”的台北市长郝龙斌更是带头反对，因为台北市寸土寸金，只要色情专区宣布设立，附近房价肯定大跌，民众更是骂声连连，在郝龙斌还想争取连任的情况下，在台北市设立色情专区绝对不可行。不只台北市坚决反对，包括新竹、苗栗、南投、台南市、高雄县、台东县、离岛澎湖、金门和马祖的地方首长，担心卫道人士和教师、家长的强烈反弹，不分蓝绿全都不赞成，避之唯恐不及。辩妇运团体：娼嫖本质是对女性的歧视、对弱势的欺侮；性工作者：基本的工作权应保护；且能带来税收。   剑啸
财经	复制版牛市貌似神离 基金经理不那么乐观本报记者 简俊东 深圳报道市场恍若回到了2006年的那个春天。3月17日，此前一天下午力挽大盘的金融股开始退居二线，有色板块接力冲锋，江西铜业、云南铜业上市公司在收盘前半小时均封上了涨停板的位置，有色金属板块上市公司积极呼应，株冶集团、吉恩镍业以及西部矿业等在收市前也登上了涨停板。而房地产板块3月16日的风头仅仅是略输于金融板块，到了3月17日，越战越勇，收盘前的势头甚至要盖过有色板块，当天深振业A、泛海建设以及中天城投收盘也封上了涨停板。受三大板块的带动，上证指数收盘上涨了3.02%。金融、地产以及有色金属板块是“牛市三剑客”，三大板块在2006年率先启动，到牛市最疯狂的时候涨幅在十倍以上的股票比比皆是，三大板块此时的强劲走势，很容易让人联想到当初牛市启动时的激情岁月。这会否是新一轮牛市的征兆？貌似而神离虽然这两个交易日“三剑客”表现让投资者找回了一丝牛市的感觉。但是这只是表面上的“形似”，本质上，三大板块的上涨已经没有了2006年初时的底气。宏观环境跟2006年初的时候已经不能同日而语。2006年初的时候中国和美国经济强劲增长，日本经济初见起色，欧盟经济出现回暖迹象，由于基本面的支持、流动性的推动，大宗商品迎来多年来的牛市，主要商品价格不断刷新历史纪录。伦敦金属交易所(LME)场内铜现货价格在2005年初企稳在每吨3000美元以上，然后拾级而上，到2005年底，已经突破每吨4500美元，这还仅仅是故事的开始，从2006年1月到2006年5月，伦敦金属交易所场内铜现货价格最高飙升到每吨8370美元的高位。铜价的表现只是所有金属价格的其中一个典型缩影，有色板块的疯狂牛市因此而启动。但是这样的故事在现在的市场环境下已经不可复制。“有色板块的上涨得益于期货价格的上涨，期货的大涨一方面是因为铜库存连续减少，大家又开始炒作中国需求复苏；另一方面有传闻说中国国储局增加收储的数量。但是我比较悲观，我觉得行情不能持续。”国海证券研究员黄皓告诉记者。受金融海啸的冲击，铜价在2008年12月一度跌至每吨3000美金以下，至今其价格虽已反弹，但是仍在每吨4000美元以下，至今全球经济还没看到曙光：美国和日本经济陷入衰退，东欧危机已经被认为是金融海啸的第二波。近日世界银行总裁佐利克称，全球经济今年或衰退1%－2%。在此环境下，市场对有色板块的期待或许是过高了。宏观经济形势不明朗的前提下，金融地产板块的启动也显得缺乏依据。“银行板块昨日的在上涨应该是市场炒作年报行情的开始，银行的业绩是会比宏观经济形势滞后的，大家都知道银行2008年业绩肯定还是会不错，兴业银行、深发展和交通银行都是这周公布年报，所以已经到了合适的时候。本应最早公布年报是兴业银行，而昨天银行板块的启动正是兴业银行，这不仅仅是一种巧合。”3月17日，深圳某私募基金的操盘人告诉记者。跟有色板块和金融板块不同，房地产板块的上涨则是有着一定的基本面的支撑。安信证券的房地产周报显示，上周房地产市场成交量总体仍然向好。珠三角地区，深圳继续强势，环渤海地区天津成交量环比仍然增长，长三角地区成交量多数城市环比上升。“房地产行业虽然复苏，但是我们认为对房地产板块需要重新思考。即使房地产价格和成交量都回到2007年的水平，房地产公司的业绩也回不到那时候的水平。2006年和2007年的时候，地产公司开发的地是很早已经拿下来的，实际上在它们的利润中，有很大一部分是因为土地的增值，实际上投资地产公司，就是看上了它们隐藏在销售价格中的土地投资收益。但是从现在开始的未来几年，房地产企业要消化的是过去两年拿的高价地，地产公司已经不能暴利，这样向上的空间就不可能跟上一轮牛市的时候比。”上述私募人士认为。A股的“后两会时代”两会于上周五闭幕，本周起市场将正式进入两会后阶段。随着两会的结束，对十大行业振兴规划这一前期反弹的主流热点题材的炒作逐渐减弱，题材股行情也宣布暂时告一段落，市场近期找不到集中做多的新热点，政策面将进入真空期。此时如果牛市“三剑客”能够接力，应该是不错的选择，但是虽然“三剑客”各自都有大涨的理由，但是可惜这些理由都有一个缺陷，就是缺乏持续性，市场将会何去何从？“今天行情有重大参考意义，主要考虑三方面的因素。一是从市场环境看，从本周起进入‘两会后’行情阶段，同时2月份宏观经济数据披露完毕，政策面进入真空期，市场运行更多的依靠自身‘内力’。从实际走势看，多方仍能占据主动，推动行情稳步向上，说明市场基础尚好，投资心态稳定。”申银万国分析师钱启敏是明显的乐观派。但是与此相比，基金金泰基金经理唐珂则只是对两会后时代的行情走势判断为谨慎偏乐观。“这是因为在外围市场企稳的趋势下，第二波金融风波是否会来临还存在异议，目前看，外围市场的行情趋势还不甚明朗。国内在4万亿投资的驱动下，资金面保持充裕；市场估值经由国泰基金自有模型模拟来看，A股收益率高于七年期国债收益率，但市盈率的参考价值还有待其他指标支持。”唐珂表示。的确有一些现象值得乐观。“两会后GDP的贡献主要来自于内需拉动。从拉动内需的两个主要行业：汽车和房地产来看，汽车行业受经济刺激政策的影响及降价的普遍预期，目前销售数据乐观，未来需求预计在10%增速以内平稳增长；房地产行业成交量回暖，深圳市场的价格已回调到位，但该行业利润不一定能够回升，回暖的持续性还有待观察。”唐珂认为。    相关报道：    攀钢系横盘半月基金苦守其中    准分红基金领涨 封基走势强劲    基金发行密集银行揩油更猛    社保基金巨资增仓地产股    准分红基金领涨封基走势强劲    光大保德信基金调查显示：超80%无养老准备计划    基金排名没有规律可循    QDII净值回升 基金借势海外突围
时尚	白色露肩上装纯情略带性感白色的露肩上装给人纯情中带有点性感的味道，选择颜色相近的米色，让干净的一身充分散发清新味道。露肩款的上装近距离看还有花样的镂空设计，不仅是衣领，袖口也呼应着这种甜美的装饰。胸前的一片让大胸小胸都有一定的遮挡效果，腰间的松紧更是我们需要的。层叠的衣摆更像是裙子穿在了上身，而超短的热裤/迷你裙的颜色与上装如果能更好的搭配，将让你既不走光又显性感。有些宫廷晚礼裙的样式，只是超短的形式更加轻盈便于我们穿着。层层的雪纺堆积，其实也帮助我们从胸线下拉长比例。
