text,label
这部电影的剧情太拖沓了，完全没有高潮部分，看得我昏昏欲睡。,0
演员表演生硬，特效也很假，感觉像是低成本网大。,0
导演明显没有掌控好节奏，故事讲得支离破碎。,0
配乐很出色，但无法挽救整体的平庸。,1
画面精美但剧情空洞，整体感觉一般般。,1
节奏有点慢，但摄影和美术设计值得一看。,1
故事老套，但主演的演技给影片加分不少。,1
中规中矩的商业片，适合打发时间。,1
结尾太仓促，很多线索没有交代清楚。,1
前半部分精彩，后半部分崩盘，整体勉强及格。,1
这部影片绝对是年度最佳！表演、剧本、导演都无可挑剔。,2
看到最后泪流满面，情感冲击力太强了。,2
导演的叙事手法太惊艳了，完全沉浸其中。,2
演员们的化学反应太棒了，每个角色都鲜活立体。,2
这部电影改变了我对这个题材的看法，太震撼了。,2
剧本写得非常聪明，反转设置得太巧妙了。,2
特效水准堪比好莱坞大片，国产电影的骄傲。,2
从开场第一分钟就被吸引，全程无尿点。,2
主题深刻但不沉重，娱乐性和思想性完美平衡。,2
结尾的长镜头将成为影史经典，太震撼了。,2
剧情漏洞太多，完全经不起推敲。,0
女主角的表演太做作了，看得人尴尬。,0
动作场面设计得很敷衍，完全没有紧张感。,0
对白写得太生硬，像是在念教科书。,0
剪辑混乱，时间线跳来跳去让人头晕。,0
服化道太不用心，完全不符合时代背景。,0
反派角色太单薄，完全没有说服力。,0
浪费了一个好题材，导演功力不足。,0
音乐滥用严重，情绪全靠BGM硬推。,0
3D效果完全是噱头，毫无必要。,0
整体还算流畅，但缺乏亮点。,1
作为爆米花电影合格了，不要期待太多。,1
有几处笑点不错，但整体平庸。,1
画面很美，故事一般，可以一看。,1
演员很努力，但剧本拖了后腿。,1
设定有新意，但执行不到位。,1
节奏把控有问题，时快时慢。,1
结尾处理得不错，提升了整体观感。,1
主题曲很好听，电影本身普通。,1
技术层面合格，艺术层面欠缺。,1
今年最惊喜的观影体验，强烈推荐！,2
导演展现了大师级的水准，每个细节都精致。,2
情感真挚动人，看完心里暖暖的。,2
动作设计行云流水，看得热血沸腾。,2
台词写得既幽默又有深度，非常难得。,2
摄影太美了，每一帧都可以当壁纸。,2
把简单的故事讲得如此动人，功力深厚。,2
演员完全融入了角色，毫无表演痕迹。,2
剧本结构精妙，伏笔回收得太漂亮了。,2
结尾的留白处理太高级了，回味无穷。,2
